frame_index,time_s,detected,wrist_x,wrist_y,wrist_z,palm_axis_angle_rad,pour_angle_rad,wrist_x_smooth,wrist_y_smooth,wrist_z_smooth,palm_axis_angle_rad_smooth,pour_angle_rad_smooth
0,0.0,True,0.5935949683189392,0.5325465202331543,-2.8178732236483484e-07,-1.5900234904752033,-1.560816786040914,0.5936027566591898,0.5331961711247762,-2.0776588864161263e-07,-1.5164447998368165,-1.5812459086853634
1,0.03427382297551789,True,0.5935483574867249,0.5335630178451538,-1.8673719637263275e-07,-1.4650525395282321,-1.5945317837189799,0.5939942449331284,0.5347971022129059,-1.9690932973048803e-07,-1.5135297283558353,-1.5830432712147713
2,0.06854764595103578,True,0.5936649441719055,0.5334789752960205,-1.5477314718737034e-07,-1.4942583695070142,-1.588389156296197,0.5943939447402954,0.5362165451049805,-1.9545272778032086e-07,-1.511571635318846,-1.5843253335680876
3,0.10282146892655367,True,0.5951687097549438,0.5395998954772949,-1.6433965299711417e-07,-1.5047845139128917,-1.5884353588029951,0.5947565078735352,0.5382572293281556,-1.7505569189779634e-07,-1.4782124144885997,-1.5925567337279507
4,0.13709529190207156,True,0.5959927439689636,0.5418943166732788,-1.8962631997965218e-07,-1.5037392631708881,-1.5894535829813525,0.5951859831809998,0.5403918504714966,-1.7165641850169777e-07,-1.4725459374627816,-1.5948998250072894
5,0.17136911487758946,True,0.5954077839851379,0.5427499413490295,-1.798021429522123e-07,-1.4232273863239722,-1.6019737868402282,0.595817768573761,0.5433820009231567,-1.752262960508233e-07,-1.468934023249083,-1.594166295236651
6,0.20564293785310733,True,0.5956957340240479,0.5442361235618591,-1.6974082939213986e-07,-1.436720154399141,-1.606247240115675,0.5962298154830933,0.5450454711914062,-1.8269229542511312e-07,-1.4720641494383546,-1.584893912265118
7,0.23991676082862523,True,0.5968238711357117,0.5484297275543213,-1.7262253493299795e-07,-1.4761987984385236,-1.584721507443005,0.5965523838996887,0.548261034488678,-1.8620107766764704e-07,-1.4746206945214475,-1.5713450993083602
8,0.27419058380414313,True,0.5972289443016052,0.5479172468185425,-2.0166964986856328e-07,-1.5204351448592484,-1.5420734439453294,0.5973674416542053,0.554239010810852,-1.9173573093667073e-07,-1.4956408530179748,-1.5595753205386897
9,0.308464406779661,True,0.5976055860519409,0.5579721331596375,-2.071702311923218e-07,-1.5165219885863521,-1.5217095181975628,0.597711980342865,0.5603856086730957,-1.9688379211402206e-07,-1.538299876491811,-1.540050361373816
10,0.3427382297551789,True,0.599483072757721,0.5726398229598999,-2.0747540929733077e-07,-1.5283281788066088,-1.5431248929918766,0.5979907512664795,0.5673875212669373,-1.9215895292745698e-07,-1.567106428624371,-1.5244722529586412
11,0.3770120527306968,True,0.5974184274673462,0.5749691128730774,-1.9548113527889655e-07,-1.6500152717683223,-1.5086224442913057,0.5987138867378234,0.5758264183998107,-1.7628373711886524e-07,-1.5845755070444865,-1.5203673479497304
12,0.41128587570621467,True,0.5982177257537842,0.583439290523529,-1.4899833900017256e-07,-1.6202315591013234,-1.5068309653671306,0.5995610475540161,0.5833536863327027,-1.6202017150135362e-07,-1.6024625974555609,-1.5162369179476745
13,0.44555969868173256,True,0.6008446216583252,0.5901117324829102,-1.2229357082560455e-07,-1.607780536959825,-1.521548918900777,0.6001919746398926,0.5890219449996948,-1.505118092381963e-07,-1.60790997591968,-1.509589463284383
14,0.47983352165725046,True,0.601841390132904,0.5956084728240967,-1.3585240310476365e-07,-1.6059574406417252,-1.5010573681872832,0.6016241788864136,0.5953238606452942,-1.4165383674935583e-07,-1.593683989931285,-1.5086637506137632
15,0.5141073446327684,True,0.6026377081871033,0.6009811162948608,-1.4993359798154415e-07,-1.5555650711272035,-1.5098876196754194,0.6030012130737304,0.6017050385475159,-1.4243064185848198e-07,-1.5815927413756217,-1.5064775553130136
16,0.5483811676082863,True,0.6045794486999512,0.6064786911010742,-1.5119127283469425e-07,-1.578885341826347,-1.5039938809382065,0.6044077754020691,0.6094791650772095,-1.4615077361668228e-07,-1.5679546838325689,-1.5026020063781782
17,0.5826549905838041,True,0.6051028966903687,0.6153451800346375,-1.5288236454580328e-07,-1.559775316323008,-1.4958999888633824,0.6059478998184205,0.6183266639709473,-1.4731864155237418e-07,-1.5523050570738148,-1.5014827326158868
18,0.616928813559322,True,0.6078774333000183,0.6289823651313782,-1.4089422961660603e-07,-1.5395902492445606,-1.5021711742265997,0.6076491117477417,0.6290390372276307,-1.4670940799987876e-07,-1.546338305135263,-1.4963571830789448
19,0.6512026365348399,True,0.6095420122146606,0.6398459672927856,-1.4169174278322316e-07,-1.5277093068479548,-1.4954609993758257,0.6093563318252564,0.6428857803344726,-1.4640567371770886e-07,-1.5292564439185603,-1.492274124653868
20,0.6854764595103578,True,0.6111437678337097,0.6545429825782776,-1.4688743021906703e-07,-1.5257313114344446,-1.4842598719907092,0.6111554980278016,0.6583351850509643,-1.452392552891979e-07,-1.5071961002747334,-1.489626776947839
21,0.7197502824858757,True,0.6131155490875244,0.6757124066352844,-1.4967260142384475e-07,-1.4934760357428338,-1.4835785888128232,0.6127442598342896,0.6751486301422119,-1.4857036774174047e-07,-1.4944527818360906,-1.4845883179324706
22,0.7540241054613936,True,0.6140987277030945,0.692592203617096,-1.4705027240324853e-07,-1.4494735981038733,-1.4826632503332375,0.6143955588340759,0.6920481204986573,-1.5523240506354342e-07,-1.4827643572365357,-1.4810224849970792
23,0.7882979284369115,True,0.6158212423324585,0.713049590587616,-1.5754979187931895e-07,-1.4758736570513467,-1.4769788791497582,0.6157758355140686,0.7072816252708435,-1.6439177272786764e-07,-1.4776016531920055,-1.4763231551557803
24,0.8225717514124293,True,0.6177985072135925,0.7243434190750122,-1.750019293922378e-07,-1.4692671838501803,-1.4776318346988677,0.616844654083252,0.7196858167648316,-1.6770497666129813e-07,-1.4848323142045614,-1.4700322602623712
25,0.8568455743879473,True,0.6180451512336731,0.730710506439209,-1.926842685406882e-07,-1.4999177912117938,-1.460763222784214,0.6177878618240357,0.729777717590332,-1.7055581906788576e-07,-1.4954438228129878,-1.4650905719268346
26,0.8911193973634651,True,0.6184596419334412,0.7377333641052246,-1.6623862109099719e-07,-1.5296293408056132,-1.4521241143457788,0.6183692932128906,0.7359059810638428,-1.7380607175709883e-07,-1.4883144553694123,-1.461962084366355
27,0.9253932203389831,True,0.6188147664070129,0.7430517077445984,-1.613044844361866e-07,-1.5025311411460056,-1.457954808655554,0.6184499502182007,0.7380250930786133,-1.7312163436145056e-07,-1.480884388250416,-1.4565744996057313
