frame_index,time_s,detected,target_x_m,target_y_m,target_z_m,target_wrist_rotate_rad,target_gripper
74,2.536262900188324,True,0.186493,0.002788,0.292851,-0.207807,0.024
75,2.570536723163842,True,0.184054,-0.00206,0.291952,-0.210246,0.024
76,2.6048105461393596,True,0.182531,-0.004138,0.291054,-0.211736,0.024
77,2.6390843691148778,True,0.18091,-0.005898,0.290501,-0.212139,0.024
78,2.6733581920903955,True,0.18,-0.005825,0.290111,-0.212375,0.024
79,2.7076320150659132,True,0.180434,-0.003091,0.289744,-0.211972,0.024
80,2.7419058380414314,True,0.180322,-0.003382,0.289956,-0.205119,0.024
81,2.776179661016949,True,0.181146,-0.006058,0.290701,-0.193687,0.024
82,2.810453483992467,True,0.184317,-0.007284,0.291599,-0.178497,0.024
83,2.844727306967985,True,0.191054,-0.010886,0.29269,-0.156783,0.024
84,2.8790011299435028,True,0.200269,-0.013007,0.294047,-0.130642,0.024
85,2.9132749529190205,True,0.212491,-0.010152,0.294129,-0.107382,0.024
86,2.9475487758945387,True,0.225179,-0.004351,0.292962,-0.084197,0.024
87,2.9818225988700564,True,0.242154,-0.002899,0.291196,-0.062779,0.024
88,3.0160964218455746,True,0.255712,0.003433,0.288779,-0.049952,0.024
89,3.0503702448210923,True,0.262988,0.005027,0.285939,-0.042676,0.024
90,3.08464406779661,True,0.263948,-0.000872,0.28362,-0.038064,0.024
91,3.118917890772128,True,0.266775,-0.005042,0.282358,-0.042343,0.024
92,3.153191713747646,True,0.263993,-0.011025,0.282776,-0.047475,0.024
93,3.1874655367231637,True,0.264618,-0.018752,0.283071,-0.052692,0.024
94,3.221739359698682,True,0.26561,-0.030442,0.284201,-0.055188,0.024
95,3.2560131826741996,True,0.268557,-0.036995,0.285013,-0.056454,0.024
96,3.2902870056497173,True,0.268621,-0.046234,0.285652,-0.055036,0.024
97,3.3245608286252355,True,0.269539,-0.048164,0.285178,-0.055427,0.024
98,3.3588346516007532,True,0.266796,-0.054948,0.285461,-0.051859,0.024
99,3.3931084745762714,True,0.265248,-0.058033,0.28548,-0.049099,0.024
100,3.427382297551789,True,0.265089,-0.060913,0.285778,-0.047583,0.024
101,3.461656120527307,True,0.262707,-0.064284,0.286048,-0.043876,0.024
102,3.495929943502825,True,0.259023,-0.068047,0.286143,-0.04026,0.024
103,3.5302037664783428,True,0.256365,-0.068607,0.285995,-0.038207,0.024
104,3.5644775894538605,True,0.256259,-0.068449,0.285694,-0.038136,0.024
105,3.5987514124293787,True,0.256448,-0.068315,0.285788,-0.038495,0.024
106,3.6330252354048964,True,0.259162,-0.066512,0.285759,-0.04005,0.024
107,3.667299058380414,True,0.26163,-0.067478,0.2858,-0.04121,0.024
108,3.7015728813559323,True,0.261247,-0.070335,0.286225,-0.042773,0.024
109,3.73584670433145,True,0.26112,-0.072478,0.286452,-0.045537,0.024
110,3.770120527306968,True,0.257909,-0.077874,0.286914,-0.0453,0.024
111,3.804394350282486,True,0.254082,-0.085792,0.287285,-0.044465,0.024
112,3.8386681732580037,True,0.250611,-0.09152,0.287468,-0.043249,0.024
113,3.872941996233522,True,0.249527,-0.094972,0.287191,-0.043452,0.024
114,3.9072158192090396,True,0.246497,-0.099753,0.287111,-0.042636,0.024
115,3.9414896421845573,True,0.249081,-0.099739,0.286587,-0.044118,0.024
116,3.9757634651600755,True,0.249654,-0.099394,0.286378,-0.044434,0.024
117,4.010037288135593,True,0.250209,-0.1,0.286137,-0.045266,0.024
